央视频道,#genre#
CCTV1高清,http://192.168.10.150:8888/udp/225.1.2.47:10276
CCTV2高清,http://192.168.10.150:8888/udp/225.1.2.78:10462
CCTV3高清,http://192.168.10.150:8888/udp/225.1.2.141:10864
CCTV4高清,http://192.168.10.150:8888/udp/225.1.2.197:11806
CCTV5高清,http://192.168.10.150:8888/udp/225.1.2.142:10870
CCTV5+高清,http://192.168.10.150:8888/udp/225.1.2.48:10282
CCTV6高清,http://192.168.10.150:8888/udp/225.1.2.143:10876
CCTV7高清,http://192.168.10.150:8888/udp/225.1.2.79:10468
CCTV8高清,http://192.168.10.150:8888/udp/225.1.2.144:10882
CCTV9高清,http://192.168.10.150:8888/udp/225.1.2.80:10474
CCTV10高清,http://192.168.10.150:8888/udp/225.1.2.81:10480
CCTV11高清,http://192.168.10.150:8888/udp/225.1.2.220:11434
CCTV12高清,http://192.168.10.150:8888/udp/225.1.2.82:10486
CCTV13高清,http://192.168.10.150:8888/udp/225.1.2.74:11584
CCTV14高清,http://192.168.10.150:8888/udp/225.1.2.83:10492
CCTV15高清,http://192.168.10.150:8888/udp/225.1.2.221:11440
CCTV17高清,http://192.168.10.150:8888/udp/225.1.2.53:10312
CCTV4K超高清,http://192.168.10.150:8888/udp/225.1.2.245:11932

卫视频道,#genre#
河南卫视高清,http://192.168.10.150:8888/udp/225.1.2.99:10588
河南都市频道,http://192.168.10.150:8888/udp/225.1.2.56:10330
河南民生频道,http://192.168.10.150:8888/udp/225.1.2.57:10336
河南法治频道,http://192.168.10.150:8888/udp/225.1.2.58:10342
河南电视剧频道,http://192.168.10.150:8888/udp/225.1.2.59:10348
河南新闻频道,http://192.168.10.150:8888/udp/225.1.2.60:10354
河南公共频道,http://192.168.10.150:8888/udp/225.1.2.62:10366
河南乡村频道,http://192.168.10.150:8888/udp/225.1.2.104:10618
河南文物宝库,http://192.168.10.150:8888/udp/225.1.2.101:10600
河南梨园频道,http://192.168.10.150:8888/udp/225.1.2.100:10594
河南武术世界,http://192.168.10.150:8888/udp/225.1.2.102:10606
河南移动电视,http://192.168.10.150:8888/udp/225.1.2.190:11866
湖南卫视高清,http://192.168.10.150:8888/udp/225.1.2.50:10294
河南卫视4K,http://192.168.10.150:8888/udp/225.1.2.237:11530
江苏卫视高清,http://192.168.10.150:8888/udp/225.1.2.84:10498
浙江卫视高清,http://192.168.10.150:8888/udp/225.1.2.85:10504
北京纪实科教,http://192.168.10.150:8888/udp/225.1.2.121:11938
北京卫视高清,http://192.168.10.150:8888/udp/225.1.2.49:10288
东方卫视高清,http://192.168.10.150:8888/udp/225.1.2.86:10510
天津卫视高清,http://192.168.10.150:8888/udp/225.1.2.87:10516
山东卫视高清,http://192.168.10.150:8888/udp/225.1.2.89:10528
安徽卫视高清,http://192.168.10.150:8888/udp/225.1.2.88:10522
深圳卫视高清,http://192.168.10.150:8888/udp/225.1.2.91:10540
湖北卫视高清,http://192.168.10.150:8888/udp/225.1.2.90:10534
四川卫视高清,http://192.168.10.150:8888/udp/225.1.2.108:11626
黑龙江卫视高清,http://192.168.10.150:8888/udp/225.1.2.92:10546
云南卫视高清,http://192.168.10.150:8888/udp/225.1.2.76:11596
贵州卫视高清,http://192.168.10.150:8888/udp/225.1.2.109:11632
辽宁卫视高清,http://192.168.10.150:8888/udp/225.1.2.152:10930
东南卫视高清,http://192.168.10.150:8888/udp/225.1.2.226:11470
重庆卫视高清,http://192.168.10.150:8888/udp/225.1.2.75:11590
广东卫视高清,http://192.168.10.150:8888/udp/225.1.2.151:10924
江西卫视高清,http://192.168.10.150:8888/udp/225.1.2.77:11602
广西卫视,http://192.168.10.150:8888/udp/225.1.2.34:10198
河北卫视高清,http://192.168.10.150:8888/udp/225.1.2.106:11614
海南卫视,http://192.168.10.150:8888/udp/225.1.2.40:10234
吉林卫视高清,http://192.168.10.150:8888/udp/225.1.2.105:11608
山西卫视,http://192.168.10.150:8888/udp/225.1.2.37:10216
陕西卫视,http://192.168.10.150:8888/udp/225.1.2.36:10210
甘肃卫视,http://192.168.10.150:8888/udp/225.1.2.44:10258
风尚购物,http://192.168.10.150:8888/udp/225.1.2.235:11518
宁夏卫视,http://192.168.10.150:8888/udp/225.1.2.41:10240
青海卫视,http://192.168.10.150:8888/udp/225.1.2.39:10228
内蒙古卫视,http://192.168.10.150:8888/udp/225.1.2.38:10222
西藏卫视,http://192.168.10.150:8888/udp/225.1.2.42:10246
新疆卫视,http://192.168.10.150:8888/udp/225.1.2.43:10252
厦门卫视,http://192.168.10.150:8888/udp/225.1.2.96:10570

动画频道,#genre#
卡酷动画,http://192.168.10.150:8888/udp/225.1.2.45:10264
金鹰卡通,http://192.168.10.150:8888/udp/225.1.2.46:10270
嘉佳卡通,http://192.168.10.150:8888/udp/225.1.2.93:10552
少儿动画,http://192.168.10.150:8888/udp/225.1.2.172:11050
新动漫,http://192.168.10.150:8888/udp/225.1.2.211:11404
动漫秀场,http://192.168.10.150:8888/udp/225.1.2.147:11728

影音频道,#genre#
金鹰纪实高清,http://192.168.10.150:8888/udp/225.1.2.97:10576
爱电影,http://192.168.10.150:8888/udp/225.1.2.155:10948
兵团卫视,http://192.168.10.150:8888/udp/225.1.2.98:10582
三沙卫视,http://192.168.10.150:8888/udp/225.1.2.225:11464
海南卫视高清,http://192.168.10.150:8888/udp/225.1.2.107:11620
魅力时尚,http://192.168.10.150:8888/udp/225.1.2.145:10888
中华特产,http://192.168.10.150:8888/udp/225.1.2.205:11788
爱综艺,http://192.168.10.150:8888/udp/225.1.2.146:10894
乒羽频道,http://192.168.10.150:8888/udp/225.1.2.213:11416
爱生活,http://192.168.10.150:8888/udp/225.1.2.159:10972
高网,http://192.168.10.150:8888/udp/225.1.2.163:10996
军事,http://192.168.10.150:8888/udp/225.1.2.164:11002
美妆,http://192.168.10.150:8888/udp/225.1.2.165:11008
地理,http://192.168.10.150:8888/udp/225.1.2.166:11014
经典电影,http://192.168.10.150:8888/udp/225.1.2.167:11020
精选,http://192.168.10.150:8888/udp/225.1.2.236:11524
足球,http://192.168.10.150:8888/udp/225.1.2.198:11392
IPTV谍战剧场,http://192.168.10.150:8888/udp/225.1.2.168:11026
IPTV相声小品,http://192.168.10.150:8888/udp/225.1.2.169:11032
IPTV野外,http://192.168.10.150:8888/udp/225.1.2.170:11038
IPTV法治,http://192.168.10.150:8888/udp/225.1.2.171:11044
IPTV6,http://192.168.10.150:8888/udp/225.1.2.155:10948
热播剧场,http://192.168.10.150:8888/udp/225.1.2.173:11056
爱体育,http://192.168.10.150:8888/udp/225.1.2.52:10306
爱大剧,http://192.168.10.150:8888/udp/225.1.2.51:10300
收视指南,http://192.168.10.150:8888/udp/225.1.2.55:10324
爱体育高清,http://192.168.10.150:8888/udp/225.1.2.153:10936
高网,http://192.168.10.150:8888/udp/225.1.2.163:10996
高清纪实,http://192.168.10.150:8888/udp/225.1.2.154:10942
现场直播,http://192.168.10.150:8888/udp/225.1.2.181:11104
CCTV4中文国际欧洲,http://192.168.10.150:8888/udp/225.1.2.182:11818
CCTV4中文国际美洲,http://192.168.10.150:8888/udp/225.1.2.183:11824
